id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
610;2025-05-21 23.31.43;25,6;91,5;3,6;470,0;33,0;11,0;27,0;1;17,6;5,9;14,4;4,0;2,5;0,8;37,9;7,3;196,1;147,7;1;1
612;2025-05-21 23.31.58;25,6;91,3;3,6;470,0;30,0;22,0;25,0;1;16,0;11,8;13,4;4,0;2,5;0,8;41,1;7,3;192,9;147,7;1;1
613;2025-05-21 23.32.05;25,7;91,7;3,6;470,0;35,0;21,0;34,0;1;18,7;11,2;18,2;4,0;2,5;0,8;48,1;7,3;185,9;147,7;1;1
617;2025-05-21 23.32.35;25,6;91,3;3,6;470,0;39,0;23,0;27,0;1;20,8;12,3;14,4;4,0;2,5;0,8;47,5;7,3;186,5;147,7;1;1
618;2025-05-21 23.32.43;25,6;91,0;3,6;470,0;34,0;26,0;27,0;1;18,2;13,9;14,4;4,0;2,5;0,8;46,5;7,3;187,5;147,7;1;1
621;2025-05-21 23.33.04;25,6;91,5;3,6;470,0;35,0;17,0;21,0;1;18,7;9,1;11,2;4,0;2,5;0,8;39,0;7,3;195,0;147,7;1;1
622;2025-05-21 23.33.11;25,6;91,5;3,6;470,0;37,0;11,0;34,0;1;19,8;5,9;18,2;4,0;2,5;0,8;43,8;7,3;190,2;147,7;1;1
624;2025-05-21 23.33.27;25,6;91,5;3,6;470,0;39,0;12,0;22,0;1;20,8;6,4;11,8;4,0;2,5;0,8;39,0;7,3;195,0;147,7;1;1
626;2025-05-21 23.33.42;25,6;91,7;3,6;470,0;27,0;15,0;23,0;1;14,4;8,0;12,3;4,0;2,5;0,8;34,7;7,3;199,3;147,7;1;1
628;2025-05-21 23.33.57;25,6;91,8;3,6;470,0;24,0;16,0;23,0;1;12,8;8,5;12,3;4,0;2,5;0,8;33,7;7,3;200,3;147,7;1;1
